label,text
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: vn.claim-prize.net
ham,Mới đi gym xong. Vui quá!
spam,CHÚC MỪNG! Bạn đã trúng LAPTOP GAMING trị giá 10000000đ. Liên hệ 0901987242 để nhận quà!
ham,Bạn có presentation không? Mình đang cần làm bài tập.
ham,Hôm nay mình đi café. Bạn tham gia không?
spam,SALE SỐC: Giảm đến 30% điện tử. Truy cập www.shop.com ngay!
spam,CẢNH BÁO: Tài khoản của bạn có dấu hiệu bất thường. Kiểm tra: my.secure.online
ham,Hôm nay mình đi ăn. Bạn ghé qua không?
spam,VAY ONLINE: Lãi suất chỉ 3%/tháng. Đăng ký: www.shop.com
spam,TIN VUI! SIM của bạn trúng thưởng XE SH MODE. Gọi 0991054187 trong vòng 25h để nhận!
spam,BẠN ĐÃ TRÚNG! ĐỒNG HỒ APPLE WATCH trị giá 10000000đ từ Lazada. Xác nhận tại: www.claim-prize.net
spam,CẢNH BÁO: Tài khoản của bạn có dấu hiệu bất thường. Kiểm tra: www.invest.asia
ham,Họp kế hoạch quý chuyển sang 8h nhé. Nhớ mang tài liệu.
spam,HỌC TRADE Crypto MIỄN PHÍ. Đăng ký: m.secure.com. Số lượng có hạn!
spam,CƠ HỘI ĐẦU TƯ: Lợi nhuận 123%/tháng. Tìm hiểu: my.invest.asia
spam,BÍ QUYẾT KIẾM 500000đ/NGÀY từ Crypto. Tham gia ngay: my.deal.net
spam,ƯU ĐÃI LỚN: Mua iPad chỉ với 34trđ tại my.shop.net. Mã: SALE481
spam,KHÁM PHÁ: Đầu tư Ethereum sinh lời 55%. CT: www.shop.com
spam,BÍ QUYẾT KIẾM 1000000đ/NGÀY từ Crypto. Tham gia ngay: vn.claim-prize.net
spam,SALE SỐC: Giảm đến 70% mỹ phẩm. Truy cập www.invest.asia ngay!
spam,KHÓA HỌC ĐẦU TƯ BNB chỉ 50000000kđ. Đăng ký: www.shop.com
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 9h. LH: m.loan.vn"
ham,"Mình cần presentation, bạn có không? Để nghiên cứu."
spam,HỌC TRADE Dogecoin MIỄN PHÍ. Đăng ký: www.invest.asia. Số lượng có hạn!
ham,Chiều nay 16h45 mình gặp tại trung tâm được không?
spam,BÍ QUYẾT KIẾM 50000000đ/NGÀY từ Crypto. Tham gia ngay: www.invest.asia
spam,VAY ONLINE: Lãi suất chỉ 4%/tháng. Đăng ký: app.loan.com
spam,"CẦN TIỀN GẤP? Vay đến 10000000đ, không thế chấp. Gọi: 0938393749"
spam,"CẦN TIỀN GẤP? Vay đến 500000đ, không thế chấp. Gọi: 0924936658"
spam,HỖ TRỢ VAY VỐN: Duyệt tự động qua app. Tải ngay: app.shop.online
spam,FLASH SALE 6H: Samsung giảm 67%. Số lượng có hạn!
spam,BẠN ĐÃ TRÚNG! IPHONE 14 trị giá 500000đ từ Tiki. Xác nhận tại: www.claim-prize.vn
ham,Tối nay 9h sáng mình đi gym nhé. văn phòng như mọi khi.
ham,Cuộc họp review lùi sang 15h20. Đừng quên báo cáo.
spam,XIN CHÚC MỪNG! Bạn được chọn nhận MACBOOK PRO M3. Xác nhận ngay: my.deal.net
ham,Mai 17h39 mình học nhóm môn Marketing nhé?
spam,FLASH SALE 24H: laptop giảm 70%. Số lượng có hạn!
ham,"Bạn ơi, 19h1 mình gặp nhau nhà mình được không?"
spam,BẠN ĐÃ TRÚNG! MACBOOK PRO M3 trị giá 20000000đ từ FPT. Xác nhận tại: m.claim-prize.vn
spam,SIÊU SALE: Thanh toán qua VNPay giảm thêm 55%!
spam,HỌC TRADE Crypto MIỄN PHÍ. Đăng ký: my.deal.net. Số lượng có hạn!
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.net
spam,SIÊU SALE: Thanh toán qua Banking giảm thêm 70%!
spam,TIN VUI! SIM của bạn trúng thưởng IPAD PRO M2. Gọi 0983905361 trong vòng 39h để nhận!
spam,BẠN ĐÃ TRÚNG! MACBOOK PRO M3 trị giá 10000000đ từ Tiki. Xác nhận tại: m.secure.com
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng TV SONY 8K. Nhận quà tại: app.claim-prize.asia
ham,"Bạn ơi, bạn có báo cáo không? tham khảo ạ."
spam,KHÁM PHÁ: Đầu tư Bitcoin sinh lời 188%. CT: my.invest.vn
spam,TIN VUI! SIM của bạn trúng thưởng LAPTOP GAMING. Gọi 0905535885 trong vòng 26h để nhận!
spam,FLASH SALE 23H: AirPods giảm 46%. Số lượng có hạn!
spam,"CẦN TIỀN GẤP? Vay đến 5000000đ, không thế chấp. Gọi: 0943357222"
spam,KHẨN: Tài khoản Internet Banking của bạn sắp bị khóa. Xác minh tại: m.secure.com
ham,Meeting kế hoạch quý dời lại 2 giờ chiều. Nhớ chuẩn bị bản vẽ.
spam,SALE SỐC: Giảm đến 40% gia dụng. Truy cập my.deal.net ngay!
ham,Họp dự án A chuyển sang 5h56 nhé. Nhớ mang report.
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 15h. LH: app.loan.online"
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 27h. LH: m.loan.net"
spam,XIN CHÚC MỪNG! Bạn được chọn nhận MACBOOK PRO M3. Xác nhận ngay: app.loan.online
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 44h. LH: m.loan.com"
spam,CƠ HỘI ĐẦU TƯ: Lợi nhuận 163%/tháng. Tìm hiểu: www.invest.asia
ham,Họp dự án B chuyển sang 23h38 nhé. Nhớ mang số liệu.
spam,HOT DEAL: Giảm 35% tại Lazada. Mã: SALE118. Hết hạn trong 3h!
